Puesto Mundial,Puesto Continental,País,Region,Puntuación 2018
1,1, Suiza,Europa,87.42
2,2, Francia,Europa,83.95
3,3, Dinamarca,Europa,81.60
4,4, Malta,Europa,80.90
5,5,Suecia,Europa,80.51
6,6, Reino Unido,Europa,79.89
7,7, Luxemburgo,Europa,79.12
8,8, Austria,Europa,78.97
9,9, Irlanda,Europa,78.77
10,10, Finlandia,Europa,78.64
11,11, Islandia,Europa,78.57
12,12, España,Europa,78.57
13,13, Alemania,Europa,78.37
14,14,Noruega,Europa,77.49
15,15, Bélgica,Europa,77.38
16,16, Italia,Europa,76.96
17,1, Nueva Zelanda,Oceania,75.96
18,17, Países Bajos,Europa,75.46
19,1, Israel,Asia,75.01
20,2, Japón,Asia,74.69
21,2, Australia,Oceania,74.12
22,18, Grecia,Europa,73.60
23,3, República de China,Asia,72.84
24,19, Chipre,Europa,72.60
25,1, Canadá,América,72.18
26,20, Portugal,Europa,71.91
27,2, Estados Unidos,América,71.19
28,21,Eslovaquia,Europa,70.60
29,22, Lituania,Europa,69.33
30,3, Costa Rica,América,67.85
31,23, Bulgaria,Europa,67.85
32,4, Catar,Asia,67.80
33,24, República Checa,Europa,67.68
34,25, Eslovenia,Europa,67.57
35,4, Trinidad y Tobago,América,67.36
36,5, San Vicente y las Granadinas,América,66.48
37,26, Letonia,Europa,66.12
38,5, Turkmenistán,Asia,66.10
39,1, Seychelles,África,66.02
40,27,Albania,Europa,65.46
41,28, Croacia,Europa,65.45
42,6, Colombia,América,65.22
43,29, Hungría,Europa,65.01
44,30,Bielorrusia,Europa,64.98
45,31,Rumania,Europa,64.78
46,7, República Dominicana,América,64.71
47,8,Uruguay,América,64.65
48,32, Estonia,Europa,64.31
49,6, Singapur,Asia,64.23
50,33, Polonia,Europa,64.11
