Ministro,Partido,Periodo,Presidente
Antonio Brack Egg,Independiente,16 de mayo del 2008 - 28 de julio de 2011,Alan García
Ricardo Giesecke Sara-Lafosse,Independiente,28 de julio de 2011 - 10 de diciembre de 2011,Ollanta Humala
Manuel Pulgar Vidal Otálora,Independiente,11 de diciembre de 2011 - 28 de julio de 2016,Ollanta Humala
Elsa Galarza Contreras,Independiente,28 de julio del 2016 - 23 de marzo de 2018,Pedro Pablo Kuczynski
Elsa Galarza Contreras,Independiente,23 de marzo de 2018 - 2 de abril de 2018,Martín Vizcarra
Fabiola Muñoz Dodero,Independiente,2 de marzo de 2018 - 11 de marzo de 2019,Martín Vizcarra
Lucía Ruiz Ostoic,Independiente,11 de marzo de 2019 - 30 de septiembre de 2019,Martín Vizcarra
Fabiola Muñoz Dodero,Independiente,3 de octubre de 2019 - 15 de julio de 2020,Martín Vizcarra
Kirla Echegaray Alfaro,Independiente,15 de julio de 2020 - 10 de noviembre de 2020,Martín Vizcarra
Lizzet Rojas Sánchez,Independiente,12 de noviembre de 2020 - 17 de noviembre de 2020,Manuel Merino
Gabriel Quijandría Acosta,Independiente,18 de noviembre de 2020 - 28 de julio de 2021,Francisco Sagasti
Rubén Ramírez Mateo,Perú Libre,29 de julio de 2021 - en funciones,Pedro Castillo
