País,Membresía,Fecha de incorporación
Alemania,Miembro,26 de julio de 2005
Anguila,Asociado,20 de abril de 1996
Antigua y Barbuda,Miembro,11 de noviembre de 1981
Argentina,Miembro,25 de febrero de 1948
Aruba,Asociado,22 de abril de 1988
Bahamas,Miembro,18 de septiembre de 1973
Barbados,Miembro,9 de diciembre de 1966
Belice,Miembro,25 de septiembre de 1981
Bermudas,Asociado,31 de agosto de 2012
"Bolivia, Estado Plurinacional de",Miembro,25 de febrero de 1948
Brasil,Miembro,25 de febrero de 1948
Canadá,Miembro,25 de febrero de 1948
Colombia,Miembro,25 de febrero de 1948
"Corea, República de",Miembro,23 de julio de 2007
Costa Rica,Miembro,25 de febrero de 1948
Cuba,Miembro,25 de febrero de 1948
Curazao,Asociado,31 de agosto de 2012
Chile,Miembro,25 de febrero de 1948
Dominica,Miembro,18 de diciembre de 1978
Ecuador,Miembro,25 de febrero de 1948
El Salvador,Miembro,25 de febrero de 1948
España,Miembro,3 de agosto de 1979
Estados Unidos,Miembro,25 de febrero de 1948
Francia,Miembro,25 de febrero de 1948
Granada,Miembro,17 de septiembre de 1974
Guadalupe,Asociado,31 de agosto de 2012
Guatemala,Miembro,25 de febrero de 1948
Guayana Francesa,Asociado,11 de mayo de 2018​​
Guyana,Miembro,20 de septiembre de 1966
Haití,Miembro,25 de febrero de 1948
Honduras,Miembro,25 de febrero de 1948
Islas Caimán,Asociado,13 de junio de 2008
Islas Turcos y Caicos,Asociado,24 de marzo de 2006
Islas Vírgenes Británicas,Asociado,6 de abril de 1984
Islas Vírgenes de los Estados Unidos,Asociado,6 de abril de 1984
Italia,Miembro,27 de julio de 1990
Jamaica,Miembro,18 de septiembre de 1962
Japón,Miembro,27 de julio de 2006
Martinica,Asociado,31 de agosto de 2012
Montserrat,Asociado,23 de abril de 1968
México,Miembro,25 de febrero de 1948
Nicaragua,Miembro,25 de febrero de 1948
Noruega,Miembro,22 de julio de 2015
Países Bajos,Miembro,25 de febrero de 1948
Panamá,Miembro,25 de febrero de 1948
Paraguay,Miembro,25 de febrero de 1948
Perú,Miembro,25 de febrero de 1948
Portugal,Miembro,27 de julio de 1984
Puerto Rico,Asociado,10 de mayo de 1990
Reino Unido,Miembro,25 de febrero de 1948
República Dominicana,Miembro,25 de febrero de 1948
San Cristóbal y Nieves,Miembro,23 de septiembre de 1983
San Vicente y las Granadinas,Miembro,16 de septiembre de 1980
Sint Maarten,Asociado,9 de mayo de 2014
Santa Lucía,Miembro,18 de septiembre de 1979
Surinam,Miembro,4 de diciembre de 1975
Trinidad y Tobago,Miembro,18 de septiembre de 1962
Turquía,Miembro,25 de julio de 2017
Uruguay,Miembro,25 de febrero de 1948
"Venezuela, República Bolivariana de",Miembro,24 de febrero de 1948
